@timestamp,data.level,data.application_name,data.context_data.spanId,data.context_data.traceId,data.message
41:53.2,INFO,payment-api,e1889d4bec4a9829,e1889d4bec4a9829,"404	"
41:53.0,INFO,payment-api,e1889d4bec4a9829,e1889d4bec4a9829,"[GET]	/api/v1/fx-quotes/search	sourceName=PAYMENT&statusCode=ERROR	"
41:17.2,INFO,account-api,f1077a5e9fc8720e,d49d8753cfa43e70,"200	{""errors"":null,""validationErrors"":null,""data"":{""accountId"":""ID-3257"",""personId"":""ID-1010"",""accountTypeCode"":""CURRENCY"",""activationDate"":""2023-02-16"",""accountName"":""Demo account"",""personName"":""Paulss Simonss"",""statusCode"":""ACTIVE"",""iban"":""XX22XXXX99999000000000000031418"",""bic"":""ICECLOUDXXX"",""defaultCurrencyCode"":""EUR"",""tenantCode"":""MB.EU"",""residencyCode"":""LV"",""customerGroupCode"":""GROUP_A"",""personTypeCode"":null,""intraOrgCode"":null,""accountTypeSetupCode"":""STANDARD"",""serviceProviderCode"":""TUUM"",""accountNumbers"":[],""balances"":[{""balanceId"":""ID-3280"",""accountId"":""ID-3257"",""currencyCode"":""EUR"",""defaultCurrencyCode"":""EUR"",""balanceAmount"":20.0,""reservedAmount"":0.0,""overdraftLimitAmount"":0.0,""availableBalanceInDefaultCcy"":20.0,""availableBalanceAmount"":20.0}]}}"
41:17.2,INFO,account-api,132eabdaf9204d28,4f0c7bd623267aec,"200	{""errors"":null,""validationErrors"":null,""data"":[{""propertyId"":null,""accountId"":null,""propertyTypeCode"":""INCOMING_EVENT_PROCESS_ALLOWED"",""valueText"":null,""valueNumber"":null,""valueDate"":null,""valueBoolean"":true},{""propertyId"":null,""accountId"":null,""propertyTypeCode"":""INCOMING_PAYMENT_ALLOWED"",""valueText"":null,""valueNumber"":null,""valueDate"":null,""valueBoolean"":true},{""propertyId"":null,""accountId"":null,""propertyTypeCode"":""INTRABANK_PAYMENT_ALLOWED"",""valueText"":null,""valueNumber"":null,""valueDate"":null,""valueBoolean"":true},{""propertyId"":null,""accountId"":null,""propertyTypeCode"":""OUTGOING_EVENT_PROCESS_ALLOWED"",""valueText"":null,""valueNumber"":null,""valueDate"":null,""valueBoolean"":true},{""propertyId"":null,""accountId"":null,""propertyTypeCode"":""OUTGOING_PAYMENT_ALLOWED"",""valueText"":null,""valueNumber"":null,""valueDate"":null,""valueBoolean"":true},{""propertyId"":null,""accountId"":null,""propertyTypeCode"":""SAFEGUARDED"",""valueText"":null,""valueNumber"":null,""valueDate"":null,""valueBoolean"":false}]}"
41:17.2,WARN,account-api,f1077a5e9fc8720e,d49d8753cfa43e70,Parsing path variables for tracing failed
41:17.2,INFO,account-api,f1077a5e9fc8720e,d49d8753cfa43e70,"[GET]	/api/v1/accounts/ID-3257		"
41:17.2,WARN,account-api,132eabdaf9204d28,4f0c7bd623267aec,Parsing path variables for tracing failed
41:17.2,INFO,account-api,132eabdaf9204d28,4f0c7bd623267aec,"[GET]	/api/v1/accounts/ID-3257/properties		"
35:38.9,INFO,payment-api,7e1c5cfb6cf7712d,2a957253ddebf68e,"200	{""errors"":null,""validationErrors"":null,""data"":{""values"":[{""processId"":""ID-1002"",""typeCode"":""PAYMENT_RECALL_APPROVAL_CONFIRM"",""expectedCount"":2,""reviewRuleCode"":""PAYMENT_RECALL_APPROVAL_CONFIRM"",""statusCode"":""WAITING"",""source"":{""sourceName"":""PAYMENT"",""sourceRef"":""PAYM-1656""},""insertedBy"":""SYSTEM"",""insertedDateTime"":""2022-02-14T17:19:36.353774Z"",""expectedCountPerRole"":null},{""processId"":""ID-1003"",""typeCode"":""PAYMENT_RECALL_APPROVAL_CONFIRM"",""expectedCount"":2,""reviewRuleCode"":""PAYMENT_RECALL_APPROVAL_CONFIRM"",""statusCode"":""WAITING"",""source"":{""sourceName"":""PAYMENT"",""sourceRef"":""PAYM-1665""},""insertedBy"":""SYSTEM"",""insertedDateTime"":""2022-02-14T18:52:04.457114Z"",""expectedCountPerRole"":null},{""processId"":""ID-1004"",""typeCode"":""PAYMENT_RECALL_APPROVAL_CONFIRM"",""expectedCount"":2,""reviewRuleCode"":""PAYMENT_RECALL_APPROVAL_CONFIRM"",""statusCode"":""WAITING"",""source"":{""sourceName"":""PAYMENT"",""sourceRef"":""PAYM-1740""},""insertedBy"":""SYSTEM"",""insertedDateTime"":""2022-02-16T08:42:41.605116Z"",""expectedCountPerRole"":null},{""processId"":""ID-1006"",""typeCode"":""PAYMENT_RECALL_APPROVAL_CONFIRM"",""expectedCount"":2,""reviewRuleCode"":""PAYMENT_RECALL_APPROVAL_CONFIRM"",""statusCode"":""WAITING"",""source"":{""sourceName"":""PAYMENT"",""sourceRef"":""PAYM-1787""},""insertedBy"":""SYSTEM"",""insertedDateTime"":""2022-02-16T11:04:39.794716Z"",""expectedCountPerRole"":null}],""pageNumber"":1,""pageSize"":100,""endReached"":true,""sort"":null}}"
35:38.8,WARN,payment-api,7e1c5cfb6cf7712d,2a957253ddebf68e,Duration of ee.lending.foureye.queries.Modular4EyeQueries.searchRoleSpecificWaitingProcesses was 63 ms
